Site,Site_code,Burnt,Habitat,date2,altitude,Barbilophozia,Bartramia,Calliergonella,Calypogeia,Cephalozia,Cephaloziella,Campylopus_all,Ceratodon,Crateneuron folicinium,Dicranella,Dicranum,Diplophyllum,Entodon,Gymnocolea,Hylocomium splendens,Hypnum,Juggermania,Leucobryum,Lophocolea_bidentata,Microlejeunea,Odontoschisma,Orthodontium,Pleurozium scheberi,Polytrichium,Pogonatum,Racomitrum languinosum,Rhytiadelphis loreus,Sphagnum,Cladonia_sp,Thuidium,Dung
CH,CH252,N,Bog,206,332,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,69,0,0,Rare
CH,CH253,N,Bog,206,348,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Frequent
CH,CH256,N,Bog,242,396,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,None
CH,CH257,N,Bog,242,368,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,None
CH,CH265,N,Bog,206,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,None
CH,CH270,N,Bog,242,392,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occaisional
CH,CH276,N,Bog,206,313,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,None
CH,CH282,N,WH,242,351,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,5,0,0,53,50,0,0,Rare
CH,CH287,Y,Bog,207,285,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,Abundant
CH,CH291,Y,Bog,243,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Abundant
CH,CH291A,N,DH,243,340,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
CH,CH292,Y,Bog,242,306,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,59,0,0,Rare
CH,CH295,Y,WH,207,239,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,17,0,0,Occaisional
CH,CH296,Y,Bog,207,262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Frequent
CH,CH296A,Y,DH,207,257,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,Abundant
CH,CH298,Y,Bog,243,296,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
CH,CH298A,Y,DH,243,291,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,Abundant
CH,CH301,N,DH,207,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,None
EM,EM103,N,Bog,219,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,None
EM,EM122,Y,WH,174,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rare
EM,EM123,N,WH,174,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM124,Y,DH,174,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM134,N,DH,279,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,Frequent
EM,EM139,N,DH,180,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,Rare
EM,EM142,Y,WH,181,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM143,Y,WH,181,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM144,Y,WH,181,309,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,None
EM,EM157,N,WH,215,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM160,Y,DH,175,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM162,Y,DH,175,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,Rare
EM,EM175,Y,WH,214,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM176,Y,DH,217,337,0,0,0,0,0,0,0.5,0,0,10,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM177,Y,DH,217,380,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM178,Y,DH,217,338,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM190,N,WH,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,None
EM,EM193,Y,DH,230,480,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM194,Y,DH,230,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM208,N,WH,185,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Rare
EM,EM209,N,WH,196,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM210,Y,WH,196,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rare
EM,EM212,N,DH,230,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,Occaisional
EM,EM213,N,DH,230,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,None
EM,EM227,N,WH,232,312,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM229,N,WH,232,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,None
EM,EM245,N,DH,232,420,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
EM,EM246,N,DH,232,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM73,Y,WH,229,377,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abundant
EM,EM74,Y,WH,229,417,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abundant
EM,EM79,N,WH,219,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None
EM,EM91,N,DH,180,554,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,None
EM,EM92,Y,WH,180,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
EM,EM95,Y,DH,229,315,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
GR,GR20,Y,Bog,200,195,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,0,None
GR,GR21,Y,Bog,200,207,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
GR,GR23,Y,Bog,200,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,None
GR,GR24,Y,Bog,200,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,None
GR,GR26,Y,WH,200,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,None
GR,GR27,Y,Bog,200,211,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,None
GR,GR3 ,Y,Bog,201,237,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Rare
GR,GR34,Y,Bog,201,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,Rare
GR,GR5,N,Bog,201,245,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,25,0,0,Rare
GR,GR6,Y,Bog,201,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,15,0,0,Rare
GR,GR8,N,Bog,201,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,None
MN,MNB,Y,DH,254,391,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,None
MN,MNB102,Y,Bog,254,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0.5,1,0,0,None
MN,MNB103,Y,Bog,254,411,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abundant
MN,MNB110,Y,Bog,250,494,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0.5,0,0,None
MN,MNB112,Y,Bog,257,441,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,None
MN,MNB121,Y,Bog,269,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occaisional
MN,MNB129,N,Bog,269,498,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,None
MN,MNB130,N,Bog,258,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0.5,0.5,0,0,None
MN,MNB131,N,Bog,255,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,4,0,0,None
MN,MNB133,Y,Bog,257,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,None
MN,MNB139,N,Bog,248,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,Rare
MN,MNB142,N,Bog,257,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,None
MN,MNB149,N,Bog,248,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,None
MN,MNB150,N,Bog,285,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0.5,21,0,2,None
MN,MNB151,N,Bog,255,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,6,0,0,None
MN,MNB161,N,Bog,255,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,23,0,0,None
MN,MNB4,Y,Bog,257,218,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None
MN,MNB7,N,DH,250,224,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
MN,MNB72,Y,Bog,250,434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
MN,MNB86,Y,Bog,250,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,None
SA,SA106,N,Bog,191,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.5,0,0,1,7,0,0,None
SA,SA107,N,Bog,187,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,34,0,0,None
SA,SA108,N,Bog,221,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,0,None
SA,SA109,Y,Bog,196,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
SA,SA121,N,Bog,221,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5.5,0,21,0.5,0,None
SA,SA122,Y,Bog,196,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.5,0,0,0,0,13,0,0,None
SA,SA154,Y,Bog,197,301,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,None
SA,SA169,Y,Bog,197,333,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0.5,0,0,0,0,0,9,0,0,None
SA,SA31,Y,Bog,221,241,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,None
SA,SA53,Y,Bog,221,295,0,0,0,0,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,None
SA,SA68,Y,Bog,191,316,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frequent
SA,SA81,N,Bog,187,294,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None
SA,SA82,N,Bog,187,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0,0,5,0,0,None
SA,SA83,Y,Bog,191,311,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None
SA,SA84,Y,Bog,197,334,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,None
SA,SA85,Y,Bog,197,352,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None
SA,SA94,N,Bog,187,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,17,0,0,None
SA,SA95,N,Bog,187,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.5,8,0,0,None
SA,SA97,Y,Bog,197,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,0,0,None
SH,SH1,N,Bog,276,232,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,11,0,None
SH,SH102,Y,Bog,228,271,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
SH,SH103,Y,Bog,228,289,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,None
SH,SH104,Y,Bog,240,309,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,None
SH,SH121,Y,Bog,228,273,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,77,0,0,None
SH,SH13,N,Bog,276,276,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,34,0.5,0,None
SH,SH14,N,Bog,208,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,27,0,0,None
SH,SH15,N,Bog,212,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,56,0,0,None
SH,SH186,Y,Bog,270,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,None
SH,SH191,Y,Bog,270,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,None
SH,SH198D,Y,Bog,225,345,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,None
SH,SH22,N,Bog,276,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,None
SH,SH23 ,N,Bog,208,289,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,None
SH,SH24,N,Bog,278,282,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,24,0,0,None
SH,SH32,N,Bog,212,252,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,26,0,0,None
SH,SH5,N,Bog,208,271,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,24,1,0,None
SH,SH6,N,Bog,278,262,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,13,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,26,0,0,None
SH,SH66,Y,Bog,275,278,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,None
SH,SH85,Y,Bog,240,297,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,None
SH,SH99,Y,Bog,225,322,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,None
